Nom;Identification;Description & Effet;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;Temps (minutes);Temps (downtime);Max par Downtime;Compétence
Uranium;à venir;Ce métal radioactif est reconnu pour sa grande densité, sa dureté et ses propriétés inflammables;20;-;-;-;;;;Géologie
Tungstène;à venir;Ce métal est reconnu pour sa dureté, sa densité et sa résistance exeptionnelle aux grandes températures;20;-;-;-;;;;Géologie
Tantale;à venir;Ce métal versatile est largement utilisé en électronique et en cybernétique, où il tempère la réaction des implants avec le corps de l'hôte;30;-;-;-;;;;Géologie
Beryllium;à venir;Ce métal est reconnu pour sa légèreté et ses propriétés non-magnétiques ;30;-;-;-;;;;Géologie
Platine;à venir;Ce métal précieux est un catalyseur chimique largement utilisé, et est également employé en cybernétique;30;-;-;-;;;;Géologie
Iridium;à venir;Ce métal est largement employé dans des alliages pour augmenter la résistance et durcir d'autres matériaux;30;-;-;-;;;;Géologie
Yttrium;à venir;Ce métal rare est reconnu pour ses propriétés conductives exeptionnelles très utiles en électronique;35;-;-;-;;;;Géologie
Zirconium;à venir;Ce métal rare est reconnu pour sa grande résistance à la corrosion, aux radiations et aux hautes températures;35;-;-;-;;;;Géologie
Rhodium;à venir;Cet métal rare est utilisé pour un grand nombre d'instruments scientifiques et d'instruments de précision;35;-;-;-;;;;Géologie
Prométhium;à venir;Ce métal rare est hautement instable, ses propriétés changeant radicalement selon ses conditions. Il est réservé à des usages de pointe;50;-;-;-;;;;Géologie
Nom;Identification;Description & Effet;Prix du marché;Fabrication : Crédits;Fabrication : Ressources;Fabrication : Temps;;;;
Carburant;Liquide jaune;Liquide inflammable tout usage, le carburant à l'état brut comporte peu d'usages sans outils ou équipements spécialisés. Un chimiste peut toutefois utiliser un dose de carburant pour méthodiquement mettre le feu et carboniser un corps ou objet, effaçant toute trâce biologique identifiable. La combustion prend 1 minute. Un chimiste passager peut également utiliser 2 doses de carburant pour substituer aux 100 crédits nécessaires pour utiliser la compétence Pilotage (ou 4 doses pour le 200 crédits de Pilotage spatial). ;40;20;-;5 minutes OU 1 Downtime pour jusqu'à 3 doses;5;1;3;Chimie
